curve,spsCount,Abie_bal,Abie_las,Betu_pap,Lari_lar,OtherBroadleaf,Pice_gla,Pice_mar,Pinu_ban,Pinu_con_lat,Popu_bal,Popu_gra,Popu_tre,Pseu_men,Pseu_men_gla
Abie_bal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abie_bal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Betu_pap,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pice_mar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Betu_pap,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pice_gla,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pice_mar,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pinu_ban,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pinu_ban,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Popu_bal,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Popu_bal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Popu_tre,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pice_gla,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pice_gla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abie_bal,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Abie_bal,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Abie_bal,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Abie_bal,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Abie_bal,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Abie_bal,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Abie_bal,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Abie_bal,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Abie_bal,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Abie_bal,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Betu_pap,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Pice_gla,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Pice_mar,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Pinu_ban,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Popu_bal,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Popu_tre,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Betu_pap,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Betu_pap,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Betu_pap,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Betu_pap,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Betu_pap,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Betu_pap,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Betu_pap,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Betu_pap,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Betu_pap,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Betu_pap,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Betu_pap,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Pice_mar,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Pice_gla,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Pice_mar,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Pinu_ban,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Popu_bal,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pice_mar,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Popu_tre,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Pice_gla,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Pice_mar,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Pinu_ban,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Popu_bal,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Popu_bal,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Popu_tre,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pice_gla,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Pice_gla,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Pice_gla,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Pice_gla,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Pice_gla,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Pice_gla,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Pice_gla,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Pice_gla,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Pinu_ban,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Pice_mar,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Popu_bal,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Pice_mar,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Pice_mar,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Pice_mar,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Pice_mar,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Pinu_ban,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Pinu_ban,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Pinu_ban,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Pinu_ban,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Pinu_ban,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Pinu_ban,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Popu_bal,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Popu_tre,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Pinu_ban,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Popu_bal,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Popu_tre,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Popu_bal,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Popu_bal,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Popu_tre,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Popu_tre,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Popu_tre,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Abie_bal,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Abie_bal,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Abie_bal,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Betu_pap,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Pice_mar,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Pinu_ban,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Betu_pap,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Pice_gla,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Pice_gla,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Pice_gla,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Pice_gla,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Pice_mar,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Popu_bal,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Popu_tre,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Popu_tre,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Betu_pap,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Betu_pap,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Pice_gla,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Pice_gla,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0
Pice_gla,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0
Pice_gla,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Pice_mar,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Pice_mar,3,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Pice_mar,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0
Pice_mar,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Pinu_ban,3,0,0,1,1,0,0,1,1,0,0,0,1,0,0
Pinu_ban,3,0,0,1,0,0,0,1,1,0,0,1,1,0,0
Pinu_ban,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Popu_tre,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Pice_mar,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Pinu_ban,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Popu_tre,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Pice_gla,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Pice_gla,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pice_gla,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Popu_tre,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Popu_tre,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Pice_mar,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pice_mar,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Pice_mar,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Popu_tre,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Popu_bal,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Pinu_ban,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
